title	description	molecular subtype:ch1	patient id:ch1	istumor	seqdepth				
BC03LN_72	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03LN	nonTumor	1662				
BC03LN_73	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03LN	nonTumor	1203				
BC03LN_77	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03LN	NA	189				
BC03LN_78	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03LN	nonTumor	1245				
BC03LN_79	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03LN	nonTumor	1597				
BC03LN_85	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03LN	nonTumor	1345				
BC03LN_87	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03LN	NA	187				
BC03LN_89	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03LN	Tumor	1581				
BC03LN_91	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03LN	nonTumor	993				
BC03LN_93	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03LN	nonTumor	656				
BC03LN_95	Single-cell RNA-seq	double positive (ER+ and HER2+)	BC03LN	nonTumor	1553				
BC07_01	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07	Tumor	1582				
BC07_03	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07	nonTumor	1289				
BC07_04	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07	nonTumor	1158				
BC07_06	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07	Tumor	1429				
BC07_08	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07	Tumor	1030				
BC07_09	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07	nonTumor	986				
BC07_12	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07	Tumor	949				
BC07_15	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07	Tumor	1009				
BC07_16	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07	nonTumor	1374				
BC07_18	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07	Tumor	1103				
BC07_20	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07	Tumor	1301				
BC07_23	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07	nonTumor	1257				
BC07_24	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07	Tumor	912				
BC07_27	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07	Tumor	892				
BC07_30	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07	nonTumor	1882				
BC07_31	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07	Tumor	1235				
BC07_35	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07	Tumor	1407				
BC07_36	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07	Tumor	1231				
BC07_38	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07	Tumor	1093				
BC07_39	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07	Tumor	1655				
BC07_42	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07	nonTumor	952				
BC07_43	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07	Tumor	1247				
BC07_44	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07	nonTumor	1444				
BC07_50	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07	nonTumor	1793				
BC07_52	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07	nonTumor	1535				
BC07_56	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07	nonTumor	1246				
BC07_57	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07	Tumor	1388				
BC07_59	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07	Tumor	1228				
BC07_60	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07	nonTumor	1539				
BC07_61	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07	nonTumor	1174				
BC07_63	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07	nonTumor	1631				
BC07_65	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07	Tumor	1075				
BC07_66	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07	Tumor	780				
BC07_67	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07	Tumor	1176				
BC07_68	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07	nonTumor	1526				
BC07_69	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07	nonTumor	1906				
BC07_72	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07	Tumor	849				
BC07_73	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07	Tumor	1315				
BC07_75	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07	Tumor	1787				
BC07_78	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07	Tumor	1382				
BC07_79	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07	nonTumor	1328				
BC07_80	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07	nonTumor	1185				
BC07_83	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07	nonTumor	2049				
BC07_87	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07	Tumor	1635				
BC07_89	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07	Tumor	726				
